Job Title,Company Name,Job Type
Software Tester,Full Time,RTR Software Solutions  -
Software Account Manager,Full Time,Confidential -
Senior Software Engineer-Java,Full Time,LINK Development -
Software Business Analyst,Full Time,Eg Insurtech -
Software Testing Engineer,Full Time,DMS -
Software Tester,Full Time,OdooTec -
Software Business Analyst,Freelance / Project,Rehletk -
Head Of Software Development,Full Time,Cubic Information Systems -
Software Developer - C# .Net,Full Time,Confidential -
Software sales,Full Time,ITSP Group  -
Software Tester,Full Time,Tafeel -
Software Quality Control Engineer,Full Time,3S Software -
Software Sales Esecutive,Full Time,Bevatel -
Part-Time Odoo Software Specialist,Part Time,3by9 -
Lead Software Quality Engineer,Full Time,Easy Cash -
Senior Full Stack Developer,Full Time,Giza Cable Industries -
AI Developer,Full Time,qTech.  -
Chief Accountant,Full Time,Semak -
Real Estate Customer Service Representative,Full Time,MENA For Contracting & Trading -
Senior Frontend Developer- Angular,Full Time,Egabi FSI -
Mid-Senior PHP Laravel Developer (Full time - on-site),Full Time,LoadServ -
Senior Full Stack Developer,Full Time,EEC Group -
Senior Python Developer,Full Time,TechJump -
DevOps Engineer -Remotely Saudi Arabia,Part Time,Alexandria For Programming -
Senior Android Developer,Full Time,GET Group- Egypt -
Site Accountant,Full Time,Adcon construction -
Odoo Developer Team Lead,Full Time,OdooTec -
IT Help Desk Specialist,Full Time,RAYA Auto -
Sales Account Manager,Full Time,Target Integrated Systems -
React Front End Developer,Full Time,Nile Creations -
Senior Sales Account Manager,Full Time,Dynamicslink -
ERP Support Specialist,Full Time,Mashura Consultants -
Customer Support Representative - Vodafone Egypt,Full Time,_VOIS Egypt -
.Net Developer,Full Time,Confidential -
Full stack Developer (.Net Core & Angular),Full Time,BI-Technologies -
IT System Admin,Full Time,Delta Egypt For Lighting  -
Statistical analysis consultant,Full Time,Exco Egypt -
IT Help Desk,Full Time,Surgitech  -
Quality Assurance Lead,Full Time,Algoriza -
Senior Sales Executive - Light Current,Full Time,3S Software -
Java Team Lead,Full Time,QOAD  -
.Net Tech Lead,Full Time,Algoriza -
Senior Java Developer,Full Time,Confidential -
Computer Vision Engineer,Full Time,RTR Software Solutions  -
Administrative Officer,Full Time,ArchiBloom Engineering and Contracting -
Senior Data Engineer,Full Time,Global Brands -
Accountant,Full Time,UNIVERSAL GROUP SHIPPING & CUSTOMER SERV. -
Site Software Engineer,Full Time,GE Vernova -
Full Stack Developer,Full Time,Makouk -
General Accountant,Full Time,Outservingplus -
Accountant,Full Time,Confidential -
Next.js 14 - Front-end developer - internship,Internship,Alexandria For Programming -
Node JS/Nest.sj- Backend Developer - internship - remotely,Internship,Alexandria For Programming -
Senior Product Designer,Full Time,WUZZUF -
Asp.Net Core / Dot Net Back-end Developer - Internship,Internship,Alexandria For Programming -
IT Infrastructure Senior Engineer,Full Time,Wadi Degla Clubs Company -
Senior Sales Executive (Outdoor).,Full Time,Nardops -
Outdoor Sales Executive,Full Time,Nardops -
IT Technical Support,Full Time,Confidential -
Senior Odoo Developer,Full Time,Confidential -
AR Accountant,Full Time,BTC-Egypt Gold -
Photographer and Video Editor,Full Time,MINISO LIFE -
Service Desk Engineer,Full Time,Nahdet Misr Publishing Group -
ERP Application Consultant,Full Time,Rednet It Services -
Devops / Configuration Management Engineer - Alexandria,Full Time,ISFP -
Senior IT Executive - Giza,Full Time,VFS Global Egypt -
Associate Product Manager,Full Time,Tenjaz -
Sales Executive,Full Time,Confidential -
Senior Node.JS Developer (Angular 7+),Full Time,qTech.  -
Senior General Accountant,Full Time,King's School The Crown -
Accountant,Full Time,FRIDAL -
Sales Account Manager,Full Time,Lynx Expo LLC -
Warehouse Supervisor (Bahariya Oasis),Full Time,FRIDAL -
General Accountant,Full Time,Schoolz -
Senior Full Stack Developer (.NET Core/Angular),Full Time,ENCOODERS TECHNOLOGIES -
